STATE,LST_Average_2015,LST_Average_2016,LST_Average_2017,LST_Average_2018,LST_Average_2019,LST_Average_2020,LST_Average_2021,LST_Average_2022
ANDAMAN AND NICOBAR ISLANDS,27.3705,27.015,25.927,24.41400000000000,27.673,28.747,27.043,27.31125
ANDHRA PRADESH,32.05775264934760,31.9235742604623,31.379442695237100,30.559415785926000,30.27706747,29.27187749,29.210861575,30.802623465
ARUNACHAL PRADESH,21.451922838304500,21.893205143590100,23.1473485869256,20.8447763531207,21.35679565,20.63561449,21.80809776,25.33279459
ASSAM,22.7572015566367,23.097802795716,24.2636176018032,22.108171562617100,22.09455797,21.64427057,22.99683596,26.47902661
BIHAR,22.330725309926,24.0851981504638,24.06228680265540,21.566691458683500,21.37731808,21.46813263,23.07907104,26.86638207
CHANDIGARH,18.677331594958800,18.3902564102565,19.4247457627119,17.1544545849631,14.04280028,16.91704475,18.09607562,23.76020927
DADRA AND NAGAR HAVELI,32.5294020569648,31.647435063284800,30.0571210965961,29.01765753401450,30.07619513,28.340380895,28.214500755,28.34150588
DAMAN AND DIU,30.69974707311690,31.2286812458582,29.90688866799210,29.119508504528400,28.5413055,26.97734482,27.25686437,29.00869002
DELHI,18.5308913760853,19.875763674957700,21.1335460292008,17.9440236755973,18.01263714,17.30282567,16.18610851,26.50676806
GOA,31.6410837988827,32.1734088369731,31.583274758760800,30.4663626206197,31.63604977,30.71749620,30.735931945,28.380567895
GUJARAT,31.267166199713400,31.56954619184060,29.622460855005300,28.676665828555400,27.85650087,26.42373457,25.55880595,27.82005888
HARYANA,18.854323777473600,19.516647178007200,20.3255901530415,17.673639702909000,15.67446603,17.11503195,17.62925360,24.10444409
HIMACHAL PRADESH,18.4077652461458,17.9551241416818,18.299295691904200,16.37309094191760,14.94287340,16.04828345,17.03801341,23.16825594
JAMMU AND KASHMIR,14.320057208814600,15.0833466566041,15.256819310729600,12.141389786332800,8.79728975,11.792857615,11.70256079,21.127574115
KARNATAKA,32.714550028553900,33.851509268753500,33.432029592997,31.92301056365530,32.57607470,31.42136867,30.31142443,29.84938259
KERALA,29.105006787321500,29.12819103295650,29.5244783486389,28.7309977379196,28.63075107,29.420989705,29.29164191,28.31604236
MADHYA PRADESH,25.8571078426007,27.0764884117195,26.136189099104,24.474743697149400,23.64590933,23.45119777,23.84412867,25.56266634
MAHARASHTRA,31.9848895423581,32.2201210502481,31.0932851122996,30.0797672393229,29.80642417,28.75404769,28.98434223,29.83095178
MANIPUR,21.012389092698300,20.8942338333297,20.68457026360160,19.223309758073900,18.97689297,19.19407421,20.39852265,23.21825425
MEGHALAYA,20.384139563393100,21.5199236518525,22.565387125291400,20.3940549706663,20.90321852,18.65891409,21.54228314,25.81243787
MIZORAM,21.764307692307700,22.15907692307700,23.4940000000001,20.051230769230800,22.09753846,21.777384615,22.23892308,23.880923075
NAGALAND,21.986315666452500,22.4897757260563,22.7636629462982,20.823214164670200,21.09321966,20.75237551,21.87357845,24.18558013
ORISSA,26.7463866885526,27.3550573440166,27.258673926147700,24.8291208870928,24.882083955,25.94941657,26.30164280,27.11110431
PONDICHERRY,29.1070804725099,28.167123117161200,28.562363103671100,27.374227275032900,27.200217335,27.08211640,27.41309157,29.18782972
PUNJAB,18.111355952544600,17.66361284305850,18.6175146593666,16.522199667166900,14.1461709,15.70420718,16.756984075,22.78105530
RAJASTHAN,26.77539330516890,27.31539493650480,25.9592256701039,25.340494835330200,23.97363848,23.33700440,21.99945043,26.26293453
TAMIL NADU,30.214590794023800,31.33426723998240,32.1639835339829,31.0126211744116,30.21749551,29.33065012,28.16998450,32.12896694
TRIPURA,24.11120683691410,24.798884249731900,24.823315700654500,22.379788814206100,23.65808187,22.682516285,24.1408695,25.245579545
UTTAR PRADESH,20.5270675683357,21.807269784985700,21.428001386854500,19.2737396045985,17.64322877,19.17108619,20.27425361,24.44980938
WEST BENGAL,23.2346952680809,24.056593581760400,24.536795102414000,22.0239971954986,22.85022074,22.29715987,24.04200867,26.87429637