DATE,precipitation,Forecast
2005/1/1,15.398,
2005/2/1,16.271,
2005/3/1,31.718,
2005/4/1,61.118,
2005/5/1,64.986,
2005/6/1,137.08,
2005/7/1,326.762,
2005/8/1,169.663,
2005/9/1,197.114,
2005/10/1,124.562,
2005/11/1,36.635,
2005/12/1,12.179,
2006/1/1,11.541,
2006/2/1,12.111,
2006/3/1,35.156,
2006/4/1,41.713,
2006/5/1,92.755,
2006/6/1,186.002,
2006/7/1,254.369,
2006/8/1,228.716,
2006/9/1,198.726,
2006/10/1,78.291,
2006/11/1,60.707,
2006/12/1,9.805,
2007/1/1,8.105,
2007/2/1,25.689,
2007/3/1,18.456,
2007/4/1,55.907,
2007/5/1,73.726,
2007/6/1,203.518,
2007/7/1,271.577,
2007/8/1,239.524,
2007/9/1,237.830,
2007/10/1,70.902,
2007/11/1,2.159,
2007/12/1,13.424,
2008/1/1,16.448,
2008/2/1,16.507,
2008/3/1,55.086,
2008/4/1,40.368,
2008/5/1,62.911,
2008/6/1,207.598,
2008/7/1,269.332,
2008/8/1,254.955,
2008/9/1,197.003,
2008/10/1,64.959,
2008/11/1,31.764,
2008/12/1,10.032,
2009/1/1,11.681,
2009/2/1,10.058,
2009/3/1,26.225,
2009/4/1,34.398,
2009/5/1,72.485,
2009/6/1,121.754,
2009/7/1,240.732,
2009/8/1,221.354,
2009/9/1,139.684,
2009/10/1,74.227,
2009/11/1,58.315,
2009/12/1,10.611,
2010/1/1,9.368,
2010/2/1,12.926,
2010/3/1,27.308,
2010/4/1,53.885,
2010/5/1,81.021,
2010/6/1,168.988,
2010/7/1,290.073,
2010/8/1,304.143,
2010/9/1,216.858,
2010/10/1,104.124,
2010/11/1,68.049,
2010/12/1,16.477,
2011/1/1,8.765,
2011/2/1,16.797,
2011/3/1,21.538,
2011/4/1,56.241,
2011/5/1,69.999,
2011/6/1,170.435,
2011/7/1,280.847,
2011/8/1,235.299,
2011/9/1,181.901,
2011/10/1,55.08,
2011/11/1,27.013,
2011/12/1,5.737,
2012/1/1,11.203,
2012/2/1,12.533,
2012/3/1,18.466,
2012/4/1,56.111,
2012/5/1,50.756,
2012/6/1,146.071,
2012/7/1,285.787,
2012/8/1,268.963,
2012/9/1,192.155,
2012/10/1,82.497,
2012/11/1,40.158,
2012/12/1,6.535,
2013/1/1,9.889,
2013/2/1,18.401,
2013/3/1,22.383,
2013/4/1,38.092,
2013/5/1,75.307,
2013/6/1,224.959,
2013/7/1,269.363,
2013/8/1,226.203,
2013/9/1,141.939,
2013/10/1,145.955,
2013/11/1,23.588,
2013/12/1,8.169,
2014/1/1,11.922,
2014/2/1,13.547,
2014/3/1,21.615,
2014/4/1,26.747,
2014/5/1,79.773,
2014/6/1,106.290,
2014/7/1,248.056,
2014/8/1,257.500,
2014/9/1,171.134,
2014/10/1,78.383,
2014/11/1,30.9,
2014/12/1,9.485,
2015/1/1,11.143,
2015/2/1,12.058,
2015/3/1,30.939,
2015/4/1,56.979,
2015/5/1,78.655,
2015/6/1,161.831,
2015/7/1,181.103,
2015/8/1,199.172,
2015/9/1,151.044,
2015/10/1,67.734,
2015/11/1,37.424,
2015/12/1,11.282,
2016/1/1,7.975,
2016/2/1,10.844,
2016/3/1,23.656,
2016/4/1,38.808,
2016/5/1,89.297,
2016/6/1,164.023,
2016/7/1,347.563,
2016/8/1,193.451,
2016/9/1,185.637,
2016/10/1,65.035,
2016/11/1,15.193,
2016/12/1,5.554,
2017/1/1,11.688,
2017/2/1,10.757,
2017/3/1,30.021,
2017/4/1,36.747,
2017/5/1,77.975,
2017/6/1,192.018,
2017/7/1,215.066,
2017/8/1,249.920,
2017/9/1,144.695,
2017/10/1,92.550,
2017/11/1,31.065,
2017/12/1,8.19,
2018/1/1,7.094,
2018/2/1,11.335,
2018/3/1,19.356,
2018/4/1,44.653,
2018/5/1,96.196,
2018/6/1,174.884,
2018/7/1,315.374,
2018/8/1,288.883,
2018/9/1,144.460,
2018/10/1,65.117,
2018/11/1,23.239,
2018/12/1,8.186,
2019/1/1,10.889,
2019/2/1,16.779,
2019/3/1,16.748,
2019/4/1,37.523,
2019/5/1,64.495,
2019/6/1,146.537,
2019/7/1,249.918,
2019/8/1,228.593,
2019/9/1,259.176,
2019/10/1,130.490,
2019/11/1,26.309,
2019/12/1,13.069,